stop_name,line_code,Line,stop_lat,stop_lon,MED_COMMUT,UNEMPLOYME,PCT_IMMIGR,PCT_POSTSE,OWNERS,RENTERS,CONDOS,MEN_HO_INC,MEN_IN_INC,MARRIED,NOT_MARRIED,DEP_5_7AM,DEP_7_9AM,DEP_9AM,MED_SHELT_OWN,MED_SHELT_RNT,AVG_CHILD,AVG_ROOMS,MED_AGE,POP_DENS,MAIN_OCCUP,MAIN_COUNTRY,MAIN_TRANSP,,stop_order,SHOW_IN_MAP
Fabre,b,bleue,45.547917,-73.60741,30.05392712,10.09702483,29.75517626,52.67958679,13.76809209,37.50656814,8.233009149,37855.03937,23332.29188,38.37356397,49.25744836,7.994852988,29.92142695,10.88584081,940.4875446,644.7607263,0.979231343,4.397451895,37.08194264,12220.86494,Sales and service,Haiti,Public transit,,10,TRUE
Frontenac,v,verte,45.53309,-73.552326,26.18714521,11.28927168,20.34553989,53.30375355,11.16548954,46.62947578,14.84559861,32164.20813,21132.40683,32.20590759,60.76101779,8.239656469,28.01414679,13.31908225,1130.291397,607.8444551,0.805294237,3.983577448,37.51066462,8624.435105,Sales and service,France,Public transit,,18,TRUE
Georges-Vanier,o,orange,45.488962,-73.576435,21.82369456,12.73025212,36.32150663,60.58997475,13.02612865,40.02257992,25.34868915,33271.16715,20547.997,34.79290534,58.76555537,3.591647392,26.53893876,9.975875385,974.462088,707.2260283,1.000685115,3.970813026,35.67559087,11215.35558,Sales and service,China,Public transit,,12,TRUE
Guy-Concordia,v,verte,45.495677,-73.579057,18.48384853,10.32338853,37.26634126,69.21972645,11.33688455,45.71326192,24.33903213,30306.67794,19400.04065,35.58829547,63.50565245,3.043717335,26.65680663,10.00436252,1056.797241,932.6384681,0.781722812,3.806648594,34.98200609,10929.50849,Sales and service,Other places of birth in Asia,Public transit,,10,TRUE
Henri-Bourassa,o,orange,45.556109,-73.667452,30.21234095,11.39553829,23.78045775,58.27697559,17.82633342,32.63919027,9.301488763,46970.6405,29991.79106,40.93357234,46.50469719,6.546734216,29.71501031,8.610664278,1039.308443,650.5408256,0.990357219,4.788776306,41.80692595,5581.380442,Sales and service,Algeria,Vehicle driver,,28,TRUE
Honor&#xE9;-Beaugrand,v,verte,45.596864,-73.534486,30.38195433,7.119454774,19.51046829,50.20729459,26.02988724,22.21919089,20.60918937,51879.40141,30689.47653,46.75519324,50.59408213,11.12656516,26.99238263,7.949437237,874.7452565,561.5042702,0.939028645,5.121336926,47.31984068,4857.45172,Sales and service,Haiti,Vehicle driver,,27,TRUE
Jarry,o,orange,45.543308,-73.628531,28.71516203,8.531731453,25.04159138,59.37319991,13.6661219,38.84682198,9.412151135,42313.80207,26545.61306,39.66720433,48.88730543,8.063553593,33.91137068,10.98825715,1163.647601,685.1878277,0.856620834,4.546768337,34.61588257,12468.0409,Sales and service,France,Public transit,,25,TRUE
Jean-Talon,b,multi orange-blue,45.5387,-73.61391,29.99924849,7.448662434,24.19093266,63.0549461,13.83934794,40.7847697,15.83898826,41725.90812,27020.41144,38.27294927,51.42914128,7.515147809,36.5401664,12.04604954,1138.382958,678.6218771,0.79117772,4.304005753,34.26026528,11944.5725,Sales and service,France,Public transit,,9,TRUE
Jean-Talon,o,multi orange-blue,45.5387,-73.61391,29.99924849,7.448662434,24.19093266,63.0549461,13.83934794,40.7847697,15.83898826,41725.90812,27020.41144,38.27294927,51.42914128,7.515147809,36.5401664,12.04604954,1138.382958,678.6218771,0.79117772,4.304005753,34.26026528,11944.5725,Sales and service,France,Public transit,,24,FALSE
Jolicoeur,v,verte,45.456786,-73.582116,27.76732677,8.436032621,18.01545174,45.92914933,16.15234755,34.9794651,8.933405176,42782.33714,25330.37231,41.20832338,46.34749936,11.07476552,27.12834522,10.85495727,1121.637094,659.2485979,0.884664567,4.611995501,41.42880062,8670.429993,Sales and service,China,Public transit,,3,TRUE
Joliette,v,verte,45.546962,-73.551509,27.63598605,9.62964778,18.38673795,53.80626735,12.68497171,44.16559933,16.11930845,34659.51066,22916.61797,35.09327009,58.28580376,9.155838376,30.41874939,12.53971775,1003.799535,629.0288565,0.813406335,4.125578099,36.07655697,10477.04083,Sales and service,France,Public transit,,20,TRUE
Langelier,v,verte,45.582963,-73.54272,30.41306308,7.498544913,27.26623499,51.01639923,16.31659922,34.04962528,13.54916869,43062.97952,25965.93502,43.9776044,46.93466966,10.3129183,26.21237939,8.875563952,870.7691022,666.6583147,0.917602235,4.567950616,44.21961498,5653.541337,Sales and service,Algeria,Public transit,,25,TRUE
LaSalle,v,verte,45.470735,-73.566136,28.05504518,10.07647709,21.76455842,47.05733865,14.18850165,36.93770638,17.23011083,36197.55486,21193.16575,38.17247004,53.11522393,8.470359074,27.06818351,10.11505479,979.1496719,632.0078113,0.943055369,4.31161202,36.10696742,6919.978155,Sales and service,China,Public transit,,6,TRUE
Laurier,o,orange,45.527041,-73.586243,24.39134842,8.152589213,23.90351775,68.86824473,19.06162494,38.97108982,27.50882054,44820.21767,30537.84826,36.66370657,54.76123202,5.924834033,38.9298152,12.358476,1215.428989,750.510866,0.717070987,4.226206765,34.94174159,12336.69765,Sales and service,France,Public transit,,21,TRUE
